,Pasal,Isi
472,Pasal 478,"Tanpa mengurangi ketentuan-ketentuan yang lalu, dan sejauh karena itu tidak ada ketentuan lain, para ahli waris dugaan boleh membagi di antara mereka segala harta peninggalan orang yang dalam keadaan tak hadir yang telah mereka kuasai, dengan mengindahkan peraturan- peraturan tentang pemisahan harta peninggalan. Namun barang-barang tetapnya tidak boleh dijual untuk dapat mengadakan pemisahan itu, melainkan harus ditaruh dalam suatu penitipan, bila tidak dapat dibagi atau dimasukkan dalam suatu kapling, dan hasilnya dapat dibagi menurut kesepakatan mereka. Tentang semuanya itu harus dibuatkan dan ditandatangani sebuah akta, yang juga menunjukkan, barang-barang apakah yang diberikan kepada penerima hibah wasiat dan orang-orang lain yang berhak."
473,Pasal 479,"Daftar dan akta tersebut dalam pasal yang lalu, demikian pula akta tentang jaminan, harus dibawa ke kepaniteraan Pengadilan Negeri yang telah mengeluarkan keputusan tentang kematian dugaan, dan disimpan di sana."
474,Pasal 480,"Mereka yang karena ketentuan-ketentuan yang lalu telah mendapat bagian dari barang-barang tetap, atau ditugaskan untuk mengelolanya, demi kepastian mereka boleh menuntut agar barang-barang itu diperiksa oleh ahli-ahli, yang diangkat untuk itu oleh Pengadilan Negeri yang di daerah hukumnya barang-barang itu terletak, dan agar dibuatkan uraian tentang keadaannya. Setelah ahli-ahli itu memberikan perslah kepada Pengadilan, dan Pengadilan mengesahkannya, kemudian mendengar jawatan Kejaksaan, maka uraian dan perslah itu harus disimpan di kepaniteraan."
475,Pasal 481,"Barang-barang tetap kepunyaan orang yang dalam keadaan tak hadir, yang dibagikan kepada ahli waris dugaan, atau diserahkan kepadanya untuk dikelola, selanjutnya tidak boleh dipindahtangankan atau dibebani, sebelum lewat waktu yang ditentukan dalam Pasal 484, kecuali kalau ada alasan penting, dan dengan izin Pengadilan Negeri."
476,Pasal 482,"Bila orang yang dalam keadaan tak hadir itu pulang kembali setelah ada keterangan kematian dugaan, atau diperoleh tanda-tanda bahwa dia masih dalam keadaan hidup, maka mereka yang telah menikmati hasil-hasil dan pendapatan-pendapatan dari barang-barangnya, wajib untuk mengembalikan hasil-hasilnya dan pendapatan-pendapatan itu dan sebagai berikut; setengahnya bila ia pulang kembali, atau bila tanda-tanda bahwa ia masih hidup diperoleh dalam waktu lima belas tahun setelah hari kematian dugaan yang dinyatakan dalam putusan Hakim; atau seperempatnya, bila tanda-tanda itu diperoleh kemudian, tetapi sebelum lampau waktu tiga puluh tahun setelah pernyataan itu."
477,Pasal 483,"Bila orang yang dalam keadaan tidak hadir itu kawin dengan gabungan harta bersama, atau gabungan keuntungan dan kerugian saja, atau gabungan hasil-hasil dan pendapatan, sedangkan isteri atau suaminya memilih membiarkan gabungan itu terus berjalan, maka dia boleh mencegah pengambilan barang-barang dalam penguasaan sementara oleh orang-orang yang diduga sebagai ahli waris, dan mencegah pelaksanaan hak-hak yang mestinya baru akan timbul setelah kematian orang yang dalam keadaan tak hadir itu, dan mengambil atau mempertahankan barang-barang itu dalam pengelolaannya, dengan mendahului yang lain-lain, dengan menunaikan kewajiban akan pendaftaran tersebut dalam Pasal 477."
478,Pasal 484,"Bila telah lampau tiga puluh tahun setelah hari kematian dugaan seperti yang dinyatakan dalam keputusan Hakim, atau bila sebelumnya telah berlalu seratus tahun penuh setelah kelahiran orang yang dalam keadaan tak hadir, maka penjamin-penjamin dibebaskan dan pembagian barang-barang yang ditinggalkan tetap berlaku sejauh pembagian itu telah terjadi, atau bila belum terjadi, para ahli waris dugaan boleh mengadakan pembagian tetap, dan boleh"
479,Pasal 485,"Bila sebelum waktu tersebut dalam pasal yang lalu, diterima berita tentang kematian orang yang ada dalam keadaan tak hadir, maka mereka yang atas dasar undang-undang atau atas dasar penetapan-penetapan orang yang dalam keadaan tak hadir itu telah mendapat hak-hak atas harta peninggalannya, pertanggungjawaban dan penyerahan atas dasar Pasal 476 dan 482."
480,Pasal 486,"Sekiranya orang yang dalam keadaan tak hadir itu pulang kembali, atau menunjukkan bahwa ia masih hidup, setelah lampau tiga puluh tahun sejak dari kematian dugaan seperti yang dinyatakan dalam keputusan Hakim, maka dia hanya berhak untuk menuntut kembali barang- barangnya dalam keadaan seperti adanya pada waktu itu, beserta harga barang-barang yang telah dipindahtangankan, atau barang-barang yang telah dibeli dengan hasil pemindahtanganan barang-barang kepunyaannya, namun semuanya tanpa suatu hasil atau pendapatan."
481,Pasal 487,"Demikian pula anak-anak dan keturunan-keturunan lebih lanjut orang dalam keadaan tidak hadir, boleh menerima kembali barang-barangnya sejauh hak mereka timbul dalam waktu tiga puluh tahun sejak lampaunya waktu yang ditetapkan dalam Pasal 484."
482,Pasal 488,"Bila dengan putusan Hakim dinyatakan dugaan hukum tentang kematian, semua tuntutan hukum terhadap orang yang dalam keadaan tak hadir itu, harus diajukan terhadap para ahli waris dugaan yang telah mengambil barang-barangnya dalam penguasaan mereka, tanpa mengurangi hak mereka untuk memberlakukan hak istimewa mereka akan pendaftaran harta peninggalan."
483,Pasal 490,
484,Pasal 491,Ketentuan-ketentuan dari kedua pasal yang lalu tidak mengesampingkan hak untuk menuntut warisan-warisan dan hak-hak lain yang ternyata kemudian telah jatuh pada orang yang dalam keadaan tak hadir itu atau orang-orang yang telah mendapat hak-hak itu daripadanya. Hak-hak itu hanya hapus oleh Iampaunya waktu yang diisyaratkan untuk lewat waktu.
485,Pasal 492,"Bila kemudian orang yang dalam keadaan tak hadir itu pulang kembali atau haknya dituntut atas namanya, pengembalian penghasilan dan pendapatannya boleh dituntut, terhitung dari hari ketika hak itu jatuh pada orang yang tak hadir itu, atas dasar dan menurut ketentuan- ketentuan Pasal 482."
486,Pasal 494,"Bila atas panggilan ketiga dari Pengadilan, baik orang yang tak hadir itu maupun orang lain untuknya, tidak ada yang muncul memberi cukup petunjuk tentang hidupnya orang itu, maka Pengadilan Negeri boleh memberi izin kepada suami atau isteri yang ditinggalkan untuk kawin dengan orang lain. Ketentuan-ketentuan Pasal 469 berlaku dalam hal ini."
487,Pasal 495,"Bila setelah pemberian izin, tetapi sebelum perkawinan dengan yang lain itu dilakukan, orang yang tak hadir itu muncul, atau seseorang membawa berita cukup tentang masih hidupnya orang itu, maka izin yang telah diberikan tidak berlaku lagi demi hukum."
488,Pasal 496,"Dihapus dengan S. 1927 - 31 jis. 390, 421."
489,Pasal 497,"Dihapus dengan S. 1927 - 31 jis. 390, 421."
490,Pasal 498,"Dihapus dengan S. 1927 - 31 jis. 390, 421."
491,Pasal 500,"Segala sesuatu yang termasuk dalam suatu barang karena hukum perlekatan, begitu pula segala hasilnya, baik hasil alam, maupun hasil usaha kerajinan, selama melekat pada dahan atau akarnya, atau terpaut pada tanah, adalah bagian dan barang itu."
492,Pasal 501,"Buah-buah perdata harus dipandang sebagai bagian dari suatu barang selama buah-buah perdata itu belum dapat ditagih, tanpa mengurangi ketentuan-ketentuan khusus dalam perundang-undangan dan perjanjian-perjanjian."
493,Pasal 502,Hasil alami adalah:
494,Pasal 504,"Ada barang yang bergerak dan ada barang yang tak bergerak, menurut ketentuan-ketentuan yang diatur dalam kedua bagian berikut ini."
495,Pasal 505,"Ada barang bergerak yang dapat dihabiskan, dan ada yang tidak dapat dihabiskan; yang dapat dihabiskan adalah barang-barang yang habis karena dipakai."
496,Pasal 507,Yang termasuk barang tak bergerak karena tujuan adalah:
497,Pasal 508,Yang juga merupakan barang tak bergerak adalah hak-hak sebagai berikut;
498,Pasal 511,Yang dianggap sebagai barang bergerak karena ditentukan undang-undang adalah:
499,Pasal 512,"Bila dalam undang-undang atau dalam suatu perbuatan perdata digunakan istilah 'barang bergerak', 'perkakas rumah', 'mebel', atau 'perabotan rumah tangga', 'perhiasan rumah' atau 'rumah dengan segala sesuatu yang ada di dalamnya', semuanya tanpa kata-kata tambahan, perluasan atau pembatasan, maka istilah-istilah itu harus dianggap meliputi barang-barang yang ditunjuk dalam pasal-pasal berikut."
500,Pasal 513,"Istilah 'barang bergerak', tanpa ada pengecualian, meliputi segala sesuatu yang menurut ketentuan-ketentuan di atas, dianggap bersifat bergerak."
501,Pasal 514,"Istilah 'perkakas rumah' meliputi segala sesuatu yang menurut ketentuan-ketentuan di atas dianggap bersifat bergerak, kecuali uang tunai, sero, piutang dan hak-hak lain tersebut dalam Pasal 511, barang perdagangan dan bahan pokok, alat-alat yang bersangkutan dengan pabrik, barang hasil pabrik atau hasil pertanian, bahan bangunan atau bahan yang berasal dan pembongkaran bangunan, begitu pula kapal dan sahamnya."
502,Pasal 515,"Istilah 'mebel' atau 'perabotan rumah tangga' meliputi segala sesuatu yang menurut pasal yang lalu termasuk dalam istilah 'perkakas rumah', kecuali kuda dan ternak lain, kereta dan perlengkapannya, batu permata, buku dan tulisan, gambar, pigura, lukisan, patung, pening peringatan, perkakas ilmu alam dan ilmu pengetahuan, barang berharga dan barang peli lainnya, pakaian pribadi, senjata, gandum, anggur, dan barang keperluan hidup lainnya."
503,Pasal 516,"lstilah 'rumah dan segala sesuatu yang ada di dalamnya' meliputi semua yang menurut Pasal 513 bersifat bergerak dan ditemukan di dalam rumah itu, kecuali uang tunai, piutang dan hak- hak lain yang surat-suratnya diketemukan dalam rumah itu."
504,Pasal 517,"Istilah 'perhiasan rumah' meliputi segala mebel yang dipakai dan dipergunakan untuk perhiasan ruangan, seperti tirai dan permadani, tempat tidur, kursi, cermin, lonceng, meja, porselen, dan barang lain semacam itu."
505,Pasal 518,Istilah 'rumah yang bermebel' atau ‘rumah beserta mebelnya' hanya meliputi perhiasan rumah.
506,Pasal 520,"Pekarangan dan barang tak bergerak lainnya yang tidak dipelihara dan tidak ada pemiliknya, seperli halnya barang seseorang yang meninggal dunia tanpa ahli waris atau yang pewarisannya ditinggalkan, adalah milik negara."
507,Pasal 521,"Demikian pula milik negaralah jalan dan lorong yang menjadi beban pemeliharaannya, pantai bengawan dan sungai yang dapat dilalui dengan perahu tambang beserta tepinya, pulau besar dan pulau kecil, beting yang muncul di atas bengawan dan sungai itu demikian juga pelabuhan dan tempat mendarat, tanpa mengurangi hak seseorang atau persekutuan yang diperoleh berdasarkan suatu tindak perdata atau besit."
508,Pasal 522,"Yang dimaksud dengan 'tepi' dalam pasal yang lalu ialah sisi bengawan, telaga atau sungai yang pada waktu biasa, bila air sedang pasang setinggi-tingginya, terendam di bawah air, dan bukan bagian yang terkena banjir dengan meluapnya air."
509,Pasal 523,"Harus dianggap pula sebagai milik negara; semua tanah dan perkayuan yang termasuk dalam bangunan benteng negara, demikian pula semua tanah yang di atasnya didirikan bangunan untuk pertahanan seperti tembok, apilan, parit, jalan tersembunyi, glacien atau tanggul, dan akhirnya tanah lapang yang di atasnya didirikan bangunan pertanahan, garis lini, pos penjagaan, kubu pertahanan/ perlindungan, benteng kecil, tanggul, pintu air, kanal dan pinggirnya; semuanya ini tidak mengurangi hak seseorang atau persekutuan berdasarkan alas hak atau besit."
510,Pasal 524,"Dalam benteng negara, seluruh tanah yang letaknya seperti di bawah ini, dianggap sebagai tanah militer:"
511,Pasal 525,"Semua benteng yang tidak ditempati, seperti kubu-kubu, pos yang menonjol, tanggul, garis dan meriam, semuanya termasuk tanah militer negara dengan tanah di sekitarnya, yang telah dibeli oleh negara sewaktu benteng itu dibuat."
512,Pasal 526,Barang milik suatu persekutuan adalah barang milik bersama dari suatu perkumpulan.
513,Pasal 527,Barang milik perorangan adalah barang milik seseorang atau beberapa orang secara perseorangan.
514,Pasal 528,"Atas suatu barang, orang dapat mempunyai hak besit atau hak milik atau hak waris atau hak menikmati hasil atau hak pengabdian tanah, atau hak gadai atau hak hipotek."
515,Pasal 530,Besit ada yang dalam itikad baik dan ada yang dalam itikad buruk.
516,Pasal 531,Besit dalam itikad baik terjadi bila pemegang besit memperoleh barang itu dengan mendapatkan hak milik tanpa mengetahui adanya cacat cela di dalamnya.
517,Pasal 532,"Besit dalam itikad buruk terjadi bila pemegarignya mengetahui, bahwa barang yang dipegangnya bukanlah hak miliknya. Bila pemegang besit digugat di muka Hakim dan dalam hal ini dikalahkan, maka ia dianggap beritikad buruk sejak perkara diajukan."
518,Pasal 533,"Pemegang besit harus selalu dianggap beritikad baik barangsiapa menuduhnya beritikad buruk, harus membuktikannya."
519,Pasal 534,"Pemegang besit harus selalu dianggap memegangnya untuk diri sendiri, selama tidak terbukti, bahwa ia memegangnya untuk orang lain."
520,Pasal 535,"Pemegang besit yang mulai memegangnya untuk orang lain, selama tidak terbukti sebaliknya, harus selalu dianggap melanjutkan besit itu berdasarkan hak yang sama."
521,Pasal 536,"Baik atas kehendak sendiri maupun karena lewatnya waktu, pemegang besit tidak dapat mengubah alasan dan dasarnya untuk diri sendiri."
522,Pasal 537,"Barang yang tidak ada dalam peredaran perdagangan, tidak dapat menjadi obyek besit. Hal ini berlaku juga terhadap hak pengabdian tanah, baik yang tidak abadi maupun yang tidak tampak, kecuali yang ditentukan dalam Pasal 553."
523,Pasal 539,"Orang gila tidak dapat memperoleh besit untuk diri sendiri. Anak belum dewasa dan wanita bersuami dengan melakukan perbuatan tersebut di atas, dapat memperoleh besit atas suatu barang."
524,Pasal 540,"Orang dapat memperoleh suatu besit atau suatu barang, baik dengan diri sendiri, maupun dengan perantaraan orang lain yang bertindak atas namanya. Dalam hal yang terakhir ini, orang malah dapat memperoleh besit, sebelum mengetahui besit atas barang tersebut diperolehnya."
525,Pasal 541,"Besit orang yang meninggal atas segala sesuatu yang dikuasainya semasa hidupnya, sejak saat meninggalnya beralih kepada ahli warisnya dengan segala sifat dan cacat celanya."
526,Pasal 542,Orang dianggap telah memegang besit atas segala suatu barang selama barang itu tidak beralih kepada pihak lain atau belum ditinggalkan secara nyata.
527,Pasal 543,"Orang kehilangan besit, atas kehendak sendiri, bila barang itu diserahkan kepada orang lain."
528,Pasal 544,"Orang kehilangan besit, sekalipun tanpa kehendak untuk menyerahkannya kepada orang lain, bila barang yang dikuasainya ditinggalkannya secara nyata."
529,Pasal 545 Orang kehilangan besit atas sebidang tanah pekarangan atau bangunan tanpa kehendak sendiri;,"1. bila pihak lain, tanpa memperdulikan kehendak pemegang besit, menarik besit itu kepada dirinya dan menikmatinya selama satu tahun tanpa gangguan apa pun; 2. bila sebidang pekarangan, karena suatu peristiwa yang luar biasa, tenggelam, kebanjiran. Besit tidak hilang karena suatu banjir yang bersifat sementara. Besit atas barang bergerak berakhir bagi pemegangnya dengan cara seperti yang diatur dalam alinea pertama pasal ini."
530,Pasal 546,Besit atas suatu barang bergerak berakhir tanpa dikehendaki pemegangnya:
531,Pasal 547,"Besit atas barang tak bertubuh berakhir bagi pemegangnya, bila orang lain selama satu tahun menikmatinya tanpa gangguan apa pun."
532,Pasal 549,Besit dengan itikad buruk memberi hak kepada pemegangnya atas suatu barang:
533,Pasal 550,"Tuntutan untuk mempertahankan besit boleh diajukan di muka Hakim, bila seseorang terganggu dalam memegang besitnya atas sebidang tanah atau pekarangan, sebuah rumah atau gedung, suatu hak kebendaan atau barang bergerak pada umumnya."
534,Pasal 551,Tuntutan seperti itu juga boleh diajukan sekalipun besit itu diperoleh dari seseorang yang tidak cakap menurut hukum untuk memindahtangankan barang tersebut.
535,Pasal 552,"Tuntutan tidak boleh diajukan terhadap orang yang membantah suatu hak pengabdian tanah, kecuali jika sengketa itu mengenai hak pengabdian tanah yang terus bertangsung atau yang nyata tampak."
536,Pasal 553,"Bila timbul suatu perselisihan tentang berlaku tidaknya dasar hukum suatu hak pengabdian tanah yang tidak terus berlangsung atau yang tidak tampak, maka Hakim boleh memerintahkan kepada pihak yang pada waktu terjadinya sengketa menikmatinya, supaya selama sengketa berlangsung, terus menikmatinya."
